index,name,website,city,officer,officer_linkedin,note
1,PAYACA LIMITED ,https://www.payaca.com,Bristol,Matthew Franklin,https://www.linkedin.com/in/matthew-franklin-product/,PAYACA LIMITED (3RD APPLICATION)
2,FLEXITECH SOLUTIONS,https://flexitechsolutions.co.uk,London,Ashish Sahasrabuddhe,,FLEXITECH SOLUTIONS
3,SMARTIA LTD,https://smartia.tech,Bristol,Mauro Arruda,https://www.linkedin.com/in/mauroarruda/,SMARTIA LTD
4,TRAMETO LTD,https://www.trameto.com,Chepstow,Huw Davies,,TRAMETO LTD
5,LEDDERLIMITED,https://ledder.io,Moscow,Alexey Storm,https://www.linkedin.com/in/alexey-storm-450b63180/,LEDDERLIMITED
6,ABACASXCHANGE,http://www.abacasexchange.com,Philadelphia,Mark  VanRoon,,ABACASXCHANGE [AX]
7,ALTEREST,https://alterest.co,London,Jeevan Param,,ALTEREST
8,DIESEL.MARKET OÜ,http://dieselmarketwebsite1.azurewebsites.net,Stuttgart,Dmitry Okatenko,https://www.linkedin.com/in/dmitry-okatenko-06a39427,DIESEL.MARKET OÜ
9,TALON OPERATING LTD,https://www.talonfms.com/,Brighton,Jonny Dunning,https://www.linkedin.com/in/jonnydunning/,TALON OPERATING LTD
10,EMIBA,https://emiba.global,Moscow,Daniil Voloshin,https://www.linkedin.com/in/daniil-voloshin-10467277/,EMIBA
11,PARTS PEDIGREE ,www.partspedigree.com,Birmingham,Mark Shaw,,PARTS PEDIGREE (2ND APPLICATION)
12,MYWAY DIGITAL HEALTH,http://www.mywaydigitalhealth.co.uk,Edinburgh,Debbie Wake,https://www.linkedin.com/in/debbie-wake-64335923/,MYWAY DIGITAL HEALTH
13,CHACHING.IO,https://chaching.io,Tel Aviv,Ynon Shild,https://www.linkedin.com/in/ynon-shild-a012145/,CHACHING.IO
14,MEASURE PROTOCOL LTD,https://www.measureprotocol.com/,London,Owen Hanks,https://www.linkedin.com/in/owen-hanks-4752172/,MEASURE PROTOCOL LTD
15,IMONT TECHNOLOGIES LIMITED ,https://www.imont.io/,London,Larry Poon,https://www.linkedin.com/in/larry-poon-18579b/,IMONT TECHNOLOGIES LIMITED (2ND APPLICATION)
16,LEKTA THERAPY LTD ,https://myonlinetherapy.com/,London,Vasileios Touronis,https://www.linkedin.com/in/vasileiostouronis/,LEKTA THERAPY LTD (2ND APPLICATION)
17,SPORT TECHNOLOGY GROUP LTD,,Moffat,Andrew  Miners,https://www.linkedin.com/in/andrew-miners-968b44a0/,SPORT TECHNOLOGY GROUP LTD
18,DATASWIFT,https://www.dataswift.me,Cambridge,Jonathan Holtby,https://www.linkedin.com/in/jonathanholtby,DATASWIFT
